"ws","gf1","gf2","treeNode","MaxCtgLen","TotalNoCtg","CtgLen.N40","nCtg.N40","CtgLen.N50","nCtg.N50","CtgLen.N60","nCtg.N60","CtgLen.N70","nCtg.N70","CtgLen.N80","nCtg.N80"
7,50,10,1,21,13234,1,842,1,842,1,842,1,842,1,842
7,50,10,2,53,12694,1,456,1,456,1,456,1,456,1,456
7,50,10,3,69,12055,1,451,1,451,1,451,1,451,1,451
7,50,10,4,65,11172,1,394,1,394,1,394,1,394,1,394
7,50,10,5,95,10906,1,356,1,356,1,356,1,356,1,356
7,50,10,6,134,10696,1,313,1,313,1,313,1,313,1,313
7,50,10,7,138,10373,1,281,1,281,1,281,1,281,1,281
7,50,10,8,143,10442,1,261,1,261,1,261,1,261,1,261
7,50,10,9,251,10826,1,279,1,279,1,279,1,279,1,279
7,50,10,10,97,11570,1,425,1,425,1,425,1,425,1,425
7,50,10,11,65,11614,1,500,1,500,1,500,1,500,1,500
7,50,10,12,57,11407,1,376,1,376,1,376,1,376,1,376
7,50,10,13,58,12203,1,490,1,490,1,490,1,490,1,490
